Date,School,Opponent
11/13/2015,Abilene Christian,University of the Southwest
11/13/2015,Alabama,Kennesaw State
11/13/2015,Arizona,Pacific
11/13/2015,Arizona State,Sacramento State
11/13/2015,Arkansas,Southern
11/13/2015,Army,Ferrum
11/13/2015,Auburn,Alabama-Birmingham
11/13/2015,Baylor,Stephen F. Austin
11/13/2015,Bethune-Cookman,Trinity (FL)
11/13/2015,Boston University,Northeastern
11/13/2015,Bradley,Ball State
11/13/2015,Brigham Young,Utah Valley
11/13/2015,Bucknell,Shenandoah
11/13/2015,Buffalo,Pittsburgh-Bradford
11/13/2015,University of California,Rice
11/13/2015,UC-Davis,North Dakota State
11/13/2015,UC-Irvine,UC-San Diego
11/13/2015,Campbell,Montreat
11/13/2015,Central Connecticut State,Hartford
11/13/2015,Central Michigan,Jacksonville State
11/13/2015,Charlotte,Elon
11/13/2015,Chicago State,Illinois Tech
11/13/2015,Cincinnati,Western Carolina
11/13/2015,Clemson,North Carolina Central
11/13/2015,College of Charleston,South Carolina State
11/13/2015,Columbia,Kean
11/13/2015,Connecticut,Maine
11/13/2015,Dayton,Southeast Missouri State
11/13/2015,Delaware State,Delaware
11/13/2015,Drake,Simpson
11/13/2015,Duke,Siena
11/13/2015,Duquesne,Seton Hill
11/13/2015,East Carolina,Grambling
11/13/2015,Eastern Kentucky,Coppin State
11/13/2015,Eastern Michigan,Vermont
11/13/2015,Florida A&M,Johnson University
11/13/2015,Florida International,Trinity Baptist
11/13/2015,Fresno State,Pepperdine
11/13/2015,Furman,Presbyterian
11/13/2015,George Mason,Colgate
11/13/2015,George Washington,Lafayette
11/13/2015,Georgia,Chattanooga
11/13/2015,Georgia Southern,Webber
11/13/2015,Georgia State,Middle Georgia State
11/13/2015,Georgia Tech,Cornell
11/13/2015,Grand Canyon,Portland State
11/13/2015,Harvard,Massachusetts Institute of Technology
11/13/2015,Hawaii,Montana State
11/13/2015,Hofstra,Canisius
11/13/2015,Idaho State,Great Falls
11/13/2015,Illinois,North Florida
11/13/2015,Illinois-Chicago,San Francisco
11/13/2015,Incarnate Word,Texas Lutheran
11/13/2015,Indiana,Eastern Illinois
11/13/2015,Indiana State,IUPUI
11/13/2015,Iowa,Gardner-Webb
11/13/2015,Kansas,Northern Colorado
11/13/2015,Kansas State,Maryland-Eastern Shore
11/13/2015,Kentucky,Albany (NY)
11/13/2015,Lamar,Austin College
11/13/2015,Liberty,Covenant
11/13/2015,Longwood,Randolph
11/13/2015,Louisiana-Lafayette,Louisiana College
11/13/2015,Louisiana-Monroe,McMurry
11/13/2015,Louisiana State,McNeese State
11/13/2015,Louisiana Tech,Millsaps
11/13/2015,Louisville,Samford
11/13/2015,Loyola (IL),Texas-San Antonio
11/13/2015,Loyola Marymount,Cal State Fullerton
11/13/2015,Loyola (MD),Tennessee State
11/13/2015,Marist,Holy Cross
11/13/2015,Marquette,Belmont
11/13/2015,Maryland,Mount St. Mary's
11/13/2015,Mercer,Allen
11/13/2015,Miami (FL),Texas-Rio Grande Valley
11/13/2015,Michigan,Northern Michigan
11/13/2015,Michigan State,Florida Atlantic
11/13/2015,Minnesota,Missouri-Kansas City
11/13/2015,Mississippi,Northwestern State
