School,Alias (ncaa.com),Alias (sports-reference.com),Location,Latitude,Longitude,Conference
Abilene Christian,Abilene Christian,Abilene Christian,Abilene Texas,32.4464534,-99.7333478,Southland
Air Force,Air Force,Air Force,USAF Academy Colorado,38.978759,-104.8643892,Mountain West
Akron,Akron,Akron,Akron Ohio,41.0830643,-81.5184854,Mid-American
Alabama,Alabama,Alabama,Tuscaloosa Alabama,33.2668398,-87.4862182,Southeastern
Alabama A&M,Alabama A&M,Alabama A&M,Normal Alabama,34.7889792,-86.5719369,Southwestern Athletic
Alabama State,Alabama State,Alabama State,Montgomery Alabama,32.3669656,-86.3006485,Southwestern Athletic
Albany,Albany,Albany (NY),Albany New York,42.6511674,-73.754968,America East
Alcorn State,Alcorn State,Alcorn State,Alcorn State Mississippi,31.8771048,-91.14122,Southwestern Athletic
American University,American University,American,Washington D.C.,38.8949549,-77.0366456,Patriot League
Appalachian State,Appalachian State,Appalachian State,Boone North Carolina,36.216795,-81.6745517,Sun Belt
Arizona,Arizona,Arizona,Tucson Arizona,32.2217422,-110.9264759,Pac-12
Arizona State,Arizona State,Arizona State,Tempe Arizona,33.4146313,-111.9093762,Pac-12
Arkansas,Arkansas,Arkansas,Fayetteville Arkansas,36.0625843,-94.1574328,Southeastern
Arkansas State,Arkansas State,Arkansas State,State University Arkansas,35.843022,-90.6776942,Sun Belt
Arkansas-Little Rock,Arkansas-Little Rock,Arkansas-Little Rock,Little Rock Arkansas,34.7464809,-92.2895948,Sun Belt
Arkansas-Pine Bluff,Arkansas-Pine Bluff,Arkansas-Pine Bluff,Pine Bluff Arkansas,34.2284312,-92.0031955,Southwestern Athletic
Army,Army,Army,West Point New York,41.3929109,-73.9568049,Patriot League
Auburn,Auburn,Auburn,Auburn Alabama,32.541791,-85.5808304,Southeastern
Austin Peay,Austin Peay,Austin Peay,Clarksville Tennessee,36.5285918,-87.3098696,Ohio Valley
Ball State,Ball State,Ball State,Muncie Indiana,40.1936683,-85.3865114,Mid-American
Baylor,Baylor,Baylor,Waco Texas,31.549333,-97.1466695,Big 12
Belmont,Belmont,Belmont,Nashville Tennessee,36.1622296,-86.7743531,Ohio Valley
Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,Daytona Beach Florida,29.2108147,-81.0228331,Mid-Eastern
Binghamton,Binghamton,Binghamton,Binghamton New York,42.096968,-75.914341,America East
Boise State,Boise State,Boise State,Boise Idaho,43.61656,-116.200835,Mountain West
Boston College,Boston College,Boston College,Chestnut Hill Massachusetts,42.330653,-71.1622757,Atlantic Coast
Boston University,Boston University,Boston University,Boston Massachusetts,42.3604823,-71.0595678,Patriot League
Bowling Green,Bowling Green,Bowling Green State,Bowling Green Ohio,41.3747744,-83.6513229,Mid-American
Bradley,Bradley,Bradley,Peoria Illinois,40.6938609,-89.5891008,Missouri Valley
Brown,Brown,Brown,Providence Rhode Island,41.8239891,-71.4128343,Ivy League
Bryant University,Bryant University,Bryant,Smithfield Rhode Island,41.9220433,-71.549507,Northeast
Bucknell,Bucknell,Bucknell,Lewisburg Pennsylvania,40.9645293,-76.8844101,Patriot League
Buffalo,Buffalo,Buffalo,Buffalo New York,42.8864468,-78.8783689,Mid-American
Butler,Butler,Butler,Indianapolis Indiana,39.7683331,-86.1583502,Big East
BYU,BYU,Brigham Young,Provo Utah,40.2338438,-111.6585337,West Coast
Cal Poly,Cal Poly,Cal Poly,San Luis Obispo California,35.2827525,-120.6596156,Big West
Cal State Bakersfield,Cal State Bakersfield,Cal State Bakersfield,Bakersfield California,35.3738712,-119.0194639,Western Athletic
Cal State Fullerton,Cal State Fullerton,Cal State Fullerton,Fullerton California,33.8708215,-117.9294165,Big West
Cal State Northridge,Cal State Northridge,Cal State Northridge,Northridge California,34.2285918,-118.5369316,Big West
California,California,University of California,Berkeley California,37.8708393,-122.2728639,Pac-12
Campbell,Campbell,Campbell,Buies Creek North Carolina,35.4132168,-78.7355728,Big South
Canisius,Canisius,Canisius,Buffalo New York,42.8864468,-78.8783689,Metro Atlantic Athletic
Central Arkansas,Central Arkansas,Central Arkansas,Conway Arkansas,35.0886963,-92.4421011,Southland
Central Connecticut State,Central Connecticut State,Central Connecticut State,New Britain Connecticut,41.68174355,-72.78814643,Northeast
Central Michigan,Central Michigan,Central Mighigan,Mount Pleasant Michigan,43.597646,-84.7668495,Mid-American
Charleston,Charleston,College of Charleston,Charleston South Carolina,32.7876012,-79.9402728,Colonial Athletic
Charleston Southern,Charleston Southern,Charleston Southern,Charleston South Carolina,32.7876012,-79.9402728,Big South
Charlotte,Charlotte,Charlotte,Charlotte North Carolina,35.2270869,-80.8431268,Conference USA
Chattanooga,Chattanooga,Chattanooga,Chattanooga Tennessee,35.0456297,-85.3096801,Southern
Chicago State,Chicago State,Chicago State,Chicago Illinois,41.8755546,-87.6244212,Western Athletic
Cincinnati,Cincinnati,Cincinnati,Cincinnati Ohio,39.1014537,-84.5124602,American Athletic Conference
Citadel,Citadel,Citadel,Charleston South Carolina,32.7876012,-79.9402728,Southern
Clemson,Clemson,Clemson,Clemson South Carolina,34.6850749,-82.8364111,Atlantic Coast
Cleveland State,Cleveland State,Cleveland State,Cleveland Ohio,41.5051613,-81.6934446,Horizon
Coastal Carolina,Coastal Carolina,Coastal Carolina,Conway South Carolina,33.8360035,-79.0478143,Big South
Colgate,Colgate,Colgate,Hamilton New York,43.6307863,-74.4659275,Patriot League
Colorado,Colorado,Colorado,Boulder Colorado,40.0149856,-105.2705456,Pac-12
Colorado State,Colorado State,Colorado State,Fort Collins Colorado,40.5508527,-105.0668085,Mountain West
Columbia,Columbia,Columbia,New York New York,53.4768564,-2.2385272,Ivy League
Connecticut,Connecticut,Connecticut,Storrs Connecticut,41.8084314,-72.2495231,American Athletic Conference
Coppin State,Coppin State,Coppin State,Baltimore Maryland,39.2908608,-76.6108073,Mid-Eastern
Cornell,Cornell,Cornell,Ithaca New York,42.4396039,-76.4968019,Ivy League
Creighton,Creighton,Creighton,Omaha Nebraska,41.2587317,-95.9378732,Big East
Dartmouth,Dartmouth,Dartmouth,Hanover New Hampshire,43.7033073,-72.2885663,Ivy League
Davidson,Davidson,Davidson,Davidson North Carolina,35.7902384,-80.2115053,Atlantic 10
Dayton,Dayton,Dayton,Dayton Ohio,39.7589478,-84.1916069,Atlantic 10
Delaware,Delaware,Delaware,Newark Delaware,39.6852191,-75.7508289,Colonial Athletic
