Rank,Name,Abbreviation
1,Florida,FLA
2,Arizona,ARIZ
3,Wichita State,WICH
4,Kansas,KU
5,Wisconsin,WIS
6,Michigan,MICH
7,Virginia,UVA
8,Villanova,VILL
9,Syracuse,SYR
10,Creighton,CREI
11,Iowa State,ISU
12,Cincinnati,CIN
13,San Diego State,SDSU
14,Michigan State,MSU
15,Duke,DUKE
16,North Carolina,UNC
17,Louisville,LOU
18,Texas,TEX
19,Oklahoma,OKLA
20,UCLA,UCLA
21,New Mexico,UNM
22,Kentucky,UK
23,Connecticut,CONN
24,Ohio State,OSU
25,Saint Louis,SLU
26,Massachusetts,MASS
27,Kansas State,KSU
28,Virginia Commonwealth,VCU
29,Memphis,MEM
30,Baylor,BAY
31,Iowa,IOWA
32,Southern Methodist,SMU
33,George Washington,GW
34,Arizona State,ASU
35,Oklahoma State,OKST
36,Gonzaga,GONZ
37,Saint Joseph's,JOES
38,Arkansas,ARK
39,Colorado,COLO
40,Oregon,ORE
41,Xavier,XAV
42,Stanford,STAN
43,Georgetown/Dayton,GTWN
44,BYU,BYU
45,Pittsburgh/Missouri,PITT
46,Green Bay,GB
47,Harvard,HARV
48,Louisiana Tech,LT
49,North Dakota State,NDSU
50,Toledo,TOL
51,Belmont,BEL
52,Delaware,DEL
53,Stephen F. Austin,SFA
54,Iona,IONA
55,Georgia State,GAST
56,Boston University,BU
57,UC Irvine,UCI
58,North Carolina Central,NCCU
59,Vermont,UVM
60,Davidson,DAV
61,Robert Morris,RMU
62,Florida Gulf Coast,FGCU
63,Utah Valley/Weber State,UVU
64,High Point/Alabama State,HP
